2025-07-30 19:53:12,256 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.017s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:53:28,831 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.006s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:53:58,090 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.206s | Details: {'ticker': 'BMGL', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 108}
2025-07-30 19:53:59,079 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 1.198s | Details: {'ticker': 'BMGL', 'days': 365, 'use_cache': True, 'total_days': 108, 'gap_up_days': 2}
2025-07-30 19:53:59,080 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 1.200s | Details: {'ticker': 'BMGL', 'days': 365, 'data_points': 2, 'cached': True}
2025-07-30 19:54:30,022 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.253s | Details: {'ticker': 'BMGL', 'days': 1095, 'data_points': 2, 'cached': True}
2025-07-30 19:56:18,546 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.442s | Details: {'ticker': 'HOLO', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:56:23,970 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 5.882s | Details: {'ticker': 'HOLO', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 9}
2025-07-30 19:56:32,610 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.022s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 19:58:11,219 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.247s | Details: {'ticker': 'BTCM', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:58:11,871 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 0.903s | Details: {'ticker': 'BTCM', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 1}
2025-07-30 19:58:11,873 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.905s | Details: {'ticker': 'BTCM', 'days': 365, 'data_points': 1, 'cached': True}
2025-07-30 20:00:21,133 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.005s | Details: {'ticker': 'HOLO', 'days': 365, 'data_points': 9, 'cached': True}
2025-07-30 20:00:27,134 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 0.004s | Details: {'ticker': 'EVOK', 'days': 365, 'data_points': 3, 'cached': True}
2025-07-30 20:03:07,644 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.359s | Details: {'ticker': 'CYN', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 20:03:13,721 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_gap_up_data | Duration: 6.443s | Details: {'ticker': 'CYN', 'days': 365, 'use_cache': True, 'total_days': 251, 'gap_up_days': 8}
2025-07-30 20:03:13,724 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 6.447s | Details: {'ticker': 'CYN', 'days': 365, 'data_points': 8, 'cached': True}
2025-07-30 20:03:21,003 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.374s | Details: {'ticker': 'CYN', 'start_date': '2022-07-31', 'end_date': '2024-07-29', 'data_points': 501}
2025-07-30 20:03:25,745 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ historical_data_real | Duration: 5.125s | Details: {'ticker': 'CYN', 'days': 1095, 'data_points': 16, 'cached': True}
